Feature Set,Model,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,accuracy_mean,accuracy_std,time_s
A_handcrafted,LogisticRegression,0.276496848193582,0.009007560686717936,0.5106988210624821,0.008639900205326918,0.4701460919578079,0.01087364554850599,3.2
A_handcrafted,LinearSVM,0.29021342527568034,0.01189666971459696,0.5853577631393432,0.020474869413759512,0.627058952660059,0.020336240411489726,0.7
A_handcrafted,RandomForest,0.3215926075000999,0.014977999686476628,0.5766432468494184,0.01569868457526222,0.5505985270067064,0.02072299304217663,2.9
A_handcrafted,HistGradientBoosting,0.3007052388180888,0.011325410707358792,0.544212866366763,0.009362371695011591,0.4973771499445707,0.010439150684272955,7.5
B_tfidf,LogisticRegression,0.3967972095964533,0.016737884206995117,0.6369994717604849,0.01312097750050969,0.6249781026704863,0.011544183298799283,2.8
B_tfidf,LinearSVM,0.3333451442804625,0.012109467765652736,0.635020991903168,0.006146020200223295,0.6580791816216098,0.0060605006276517595,2.1
B_tfidf,RandomForest,0.34051543535916295,0.007878502893387335,0.6223065747054499,0.013073139996203584,0.6505337679870922,0.01429052981376808,22.2
B_tfidf,HistGradientBoosting,0.3267662276548736,0.00721968483868457,0.6149640416128063,0.009905168520121917,0.632934242154829,0.010071910604758537,71.1
C_combined,LogisticRegression,0.41498976613324245,0.006212384126497389,0.6770694971916184,0.010253855849924477,0.6681302205099499,0.010517222765067802,41.7
C_combined,LinearSVM,0.3494397771223198,0.01143658067230683,0.6768116558227063,0.013147874733438062,0.701231738505274,0.013501292252212981,49.8
C_combined,RandomForest,0.35710616626070435,0.013061856462045092,0.6645612135556985,0.013529518846165184,0.6936883005696599,0.01203775845291291,17.2
C_combined,HistGradientBoosting,0.3632036648877762,0.014548148065477688,0.6941050415588513,0.016724756366781383,0.7163157605891974,0.01658055406408628,71.8
